GEO_ID,NAME,H1_001N
Geography,Geographic Area Name, !!Total
1400000US06085512057,Census Tract 5120.57; Santa Clara County; California,1092
1400000US06085512058,Census Tract 5120.58; Santa Clara County; California,2608
1400000US06085512059,Census Tract 5120.59; Santa Clara County; California,2052
1400000US06085512100,Census Tract 5121; Santa Clara County; California,518
1400000US06085512200,Census Tract 5122; Santa Clara County; California,1763
1400000US06085512305,Census Tract 5123.05; Santa Clara County; California,1569
1400000US06085512307,Census Tract 5123.07; Santa Clara County; California,2556
1400000US06085512308,Census Tract 5123.08; Santa Clara County; California,2874
1400000US06085512309,Census Tract 5123.09; Santa Clara County; California,1760
1400000US06085512310,Census Tract 5123.10; Santa Clara County; California,1947
1400000US06085512311,Census Tract 5123.11; Santa Clara County; California,1395
1400000US06085512312,Census Tract 5123.12; Santa Clara County; California,1302
1400000US06085512313,Census Tract 5123.13; Santa Clara County; California,1286
1400000US06085512314,Census Tract 5123.14; Santa Clara County; California,2249
1400000US06085512401,Census Tract 5124.01; Santa Clara County; California,1491
1400000US06085512402,Census Tract 5124.02; Santa Clara County; California,1600
1400000US06085512505,Census Tract 5125.05; Santa Clara County; California,2285
1400000US06085512509,Census Tract 5125.09; Santa Clara County; California,1827
1400000US06085512510,Census Tract 5125.10; Santa Clara County; California,2877
1400000US06085512511,Census Tract 5125.11; Santa Clara County; California,1429
1400000US06085512512,Census Tract 5125.12; Santa Clara County; California,1241
1400000US06085512513,Census Tract 5125.13; Santa Clara County; California,1214
1400000US06085512514,Census Tract 5125.14; Santa Clara County; California,938
1400000US06085512515,Census Tract 5125.15; Santa Clara County; California,1693
1400000US06085512516,Census Tract 5125.16; Santa Clara County; California,1323
1400000US06085512602,Census Tract 5126.02; Santa Clara County; California,1192
1400000US06085512603,Census Tract 5126.03; Santa Clara County; California,1387
1400000US06085512604,Census Tract 5126.04; Santa Clara County; California,1333
1400000US06085513000,Census Tract 5130; Santa Clara County; California,3530
1400000US06085513500,Census Tract 5135; Santa Clara County; California,436
